job_title,Grupo
Data Analyst,191673.24 - 198210.88
Data Analyst,113221.58 - 119759.22
Data Analytics Manager,185135.61 - 191673.24
Data Analytics Manager,152447.41 - 158985.05
Software Engineer,263587.27 - 270124.91
Software Engineer,126296.86 - 132834.5
Manager,152447.41 - 158985.05
Manager,80533.39 - 87071.03
Business Development Representative,67458.11 - 73995.75
Business Development Representative,54382.83 - 60920.47
Analytics Engineer,139372.13 - 145909.77
Analytics Engineer,119759.22 - 126296.86
Data Engineer,145909.77 - 152447.41
Data Engineer,119759.22 - 126296.86
Data Specialist,67458.11 - 73995.75
Data Specialist,60920.47 - 67458.11
Business Intelligence Developer,100146.3 - 106683.94
Business Intelligence Developer,67458.11 - 73995.75
Business Intelligence Developer,152447.41 - 158985.05
Business Intelligence Developer,113221.58 - 119759.22
Analyst,224361.44 - 230899.08
Analyst,73995.75 - 80533.39
Research Associate,73995.75 - 80533.39
Research Associate,47845.19 - 54382.83
Analyst,204748.52 - 211286.16
Product Specialist,204748.52 - 211286.16
Product Specialist,113221.58 - 119759.22
Analytics Engineer,185135.61 - 191673.24
Analytics Engineer,126296.86 - 132834.5
Systems Engineer,230899.08 - 237436.71
Systems Engineer,152447.41 - 158985.05
Manager,198210.88 - 204748.52
Manager,119759.22 - 126296.86
Machine Learning Engineer,413952.96 - 420490.6
Machine Learning Engineer,230899.08 - 237436.71
Data Analyst,15157.0 - 21694.64
Associate,145909.77 - 152447.41
Associate,113221.58 - 119759.22
Data Scientist,243974.35 - 250511.99
Data Scientist,165522.69 - 172060.33
Data Scientist,230899.08 - 237436.71
Data Scientist,106683.94 - 113221.58
Data Scientist,270124.91 - 276662.55
Data Scientist,198210.88 - 204748.52
Software Engineer,224361.44 - 230899.08
Software Engineer,73995.75 - 80533.39
Data Governance,178597.97 - 185135.61
Data Governance,106683.94 - 113221.58
Data Scientist,139372.13 - 145909.77
Data Scientist,100146.3 - 106683.94
Engineer,217823.8 - 224361.44
Engineer,126296.86 - 132834.5
Engineer,257049.63 - 263587.27
Software Development Engineer,191673.24 - 198210.88
Software Development Engineer,126296.86 - 132834.5
Data Scientist,113221.58 - 119759.22
Data Governance Lead,224361.44 - 230899.08
Data Governance Lead,119759.22 - 126296.86
Manager,217823.8 - 224361.44
Manager,172060.33 - 178597.97
Data Analyst,126296.86 - 132834.5
Data Analyst,139372.13 - 145909.77
Data Engineer,204748.52 - 211286.16
Data Engineer,178597.97 - 185135.61
Software Developer,73995.75 - 80533.39
Software Developer,47845.19 - 54382.83
Analyst,158985.05 - 165522.69
Analyst,113221.58 - 119759.22
Systems Engineer,139372.13 - 145909.77
Systems Engineer,100146.3 - 106683.94
Systems Engineer,113221.58 - 119759.22
Systems Engineer,67458.11 - 73995.75
Data Scientist,191673.24 - 198210.88
Data Scientist,152447.41 - 158985.05
Statistician,93608.66 - 100146.3
Statistician,54382.83 - 60920.47
Analyst,139372.13 - 145909.77
Manager,145909.77 - 152447.41
Architect,381264.76 - 387802.4
Architect,250511.99 - 257049.63
Software Engineer,191673.24 - 198210.88
Software Engineer,80533.39 - 87071.03
Data Product Manager,145909.77 - 152447.41
Data Product Manager,119759.22 - 126296.86
Data Scientist,217823.8 - 224361.44
Data Scientist,73995.75 - 80533.39
Manager,113221.58 - 119759.22
Manager,87071.03 - 93608.66
Quantitative Researcher,178597.97 - 185135.61
Quantitative Researcher,165522.69 - 172060.33
Software Engineer,368189.49 - 374727.13
Software Engineer,198210.88 - 204748.52
Manager,165522.69 - 172060.33
Research Engineer,204748.52 - 211286.16
Research Engineer,139372.13 - 145909.77
Software Engineer,250511.99 - 257049.63
Product Manager,191673.24 - 198210.88
Product Manager,113221.58 - 119759.22
Data Scientist,172060.33 - 178597.97
Data Scientist,224361.44 - 230899.08
Data Scientist,87071.03 - 93608.66
Data Scientist,47845.19 - 54382.83
Associate,217823.8 - 224361.44
Associate,198210.88 - 204748.52
Software Engineer,165522.69 - 172060.33
Data Specialist,54382.83 - 60920.47
Data Specialist,47845.19 - 54382.83
Associate,250511.99 - 257049.63
Associate,185135.61 - 191673.24
Research Engineer,250511.99 - 257049.63
Research Engineer,132834.5 - 139372.13
Data Engineer,73995.75 - 80533.39
Data Analyst,93608.66 - 100146.3
Data Architect,34769.92 - 41307.55
Applied Scientist,152447.41 - 158985.05
Applied Scientist,73995.75 - 80533.39
Applied Scientist,204748.52 - 211286.16
Applied Scientist,93608.66 - 100146.3
AI Engineer,243974.35 - 250511.99
AI Engineer,178597.97 - 185135.61
Software Engineer,283200.18 - 289737.82
Software Engineer,185135.61 - 191673.24
Cloud Developer,257049.63 - 263587.27
Cloud Developer,126296.86 - 132834.5
Engineering Manager,374727.13 - 381264.76
Engineering Manager,217823.8 - 224361.44
Software Engineer,217823.8 - 224361.44
Consultant,204748.52 - 211286.16
Consultant,145909.77 - 152447.41
Systems Engineer,224361.44 - 230899.08
Systems Engineer,158985.05 - 165522.69
Research Scientist,119759.22 - 126296.86
Research Scientist,87071.03 - 93608.66
Analyst,106683.94 - 113221.58
Software Developer,172060.33 - 178597.97
Engineer,93608.66 - 100146.3
Engineer,73995.75 - 80533.39
Software Engineer,41307.55 - 47845.19
Product Manager,289737.82 - 296275.46
Product Manager,132834.5 - 139372.13
Product Designer,289737.82 - 296275.46
Product Designer,132834.5 - 139372.13
Research Scientist,348576.57 - 355114.21
Research Scientist,191673.24 - 198210.88
Machine Learning Engineer,165522.69 - 172060.33
Machine Learning Engineer,119759.22 - 126296.86
Data Scientist,158985.05 - 165522.69
Data Engineer,139372.13 - 145909.77
Data Engineer,198210.88 - 204748.52
Data Engineer,172060.33 - 178597.97
Data Operations,270124.91 - 276662.55
Data Operations,158985.05 - 165522.69
Data Operations,165522.69 - 172060.33
Data Operations,119759.22 - 126296.86
Product Specialist,243974.35 - 250511.99
Product Specialist,139372.13 - 145909.77
Statistical Programmer,41307.55 - 47845.19
Statistical Programmer,28232.28 - 34769.92
Data Governance Analyst,93608.66 - 100146.3
Data Governance Analyst,60920.47 - 67458.11
Business Analyst,80533.39 - 87071.03
Data Analyst,119759.22 - 126296.86
Solution Architect,263587.27 - 270124.91
Solution Architect,145909.77 - 152447.41
Data Modeler,152447.41 - 158985.05
Data Modeler,139372.13 - 145909.77
Analyst,93608.66 - 100146.3
Research Scientist,198210.88 - 204748.52
Research Scientist,100146.3 - 106683.94
Engineer,185135.61 - 191673.24
Engineer,100146.3 - 106683.94
Manager,224361.44 - 230899.08
Analyst,145909.77 - 152447.41
Analyst,87071.03 - 93608.66
Manager,132834.5 - 139372.13
Manager,100146.3 - 106683.94
Associate,158985.05 - 165522.69
Associate,100146.3 - 106683.94
Engineer,204748.52 - 211286.16
Manager,158985.05 - 165522.69
Data Scientist,126296.86 - 132834.5
Data Analyst,178597.97 - 185135.61
Data Analyst,158985.05 - 165522.69
Data Architect,139372.13 - 145909.77
Data Architect,119759.22 - 126296.86
Full Stack Developer,106683.94 - 113221.58
Full Stack Developer,80533.39 - 87071.03
Manager,178597.97 - 185135.61
Statistician,87071.03 - 93608.66
Statistician,80533.39 - 87071.03
Machine Learning Engineer,198210.88 - 204748.52
Machine Learning Engineer,172060.33 - 178597.97
Data Management Lead,145909.77 - 152447.41
Data Management Lead,106683.94 - 113221.58
Manager,250511.99 - 257049.63
Data Specialist,15157.0 - 21694.64
Business Intelligence Analyst,185135.61 - 191673.24
Business Intelligence Analyst,106683.94 - 113221.58
Engineer,263587.27 - 270124.91
Research Scientist,126296.86 - 132834.5
Postdoctoral Researcher,60920.47 - 67458.11
Associate,172060.33 - 178597.97
Engineer,152447.41 - 158985.05
Engineer,106683.94 - 113221.58
DevOps Engineer,119759.22 - 126296.86
DevOps Engineer,67458.11 - 73995.75
Associate,106683.94 - 113221.58
Associate,80533.39 - 87071.03
Analyst,126296.86 - 132834.5
Analyst,100146.3 - 106683.94
Business Intelligence Analyst,119759.22 - 126296.86
Business Intelligence Analyst,87071.03 - 93608.66
Solutions Architect,230899.08 - 237436.71
Solutions Architect,152447.41 - 158985.05
Manager,191673.24 - 198210.88
Engineer,178597.97 - 185135.61
Developer,178597.97 - 185135.61
Developer,126296.86 - 132834.5
Data Engineer,165522.69 - 172060.33
Data Engineer,80533.39 - 87071.03
Architect,172060.33 - 178597.97
Architect,139372.13 - 145909.77
Analyst,132834.5 - 139372.13
Cloud Engineer,152447.41 - 158985.05
Cloud Engineer,73995.75 - 80533.39
Software Engineer,230899.08 - 237436.71
Software Engineer,87071.03 - 93608.66
MLOps Engineer,211286.16 - 217823.8
MLOps Engineer,132834.5 - 139372.13
Data Analyst,67458.11 - 73995.75
Data Engineer,132834.5 - 139372.13
Data Engineer,113221.58 - 119759.22
Data Scientist,132834.5 - 139372.13
Analyst,54382.83 - 60920.47
Business Analyst,230899.08 - 237436.71
Business Analyst,145909.77 - 152447.41
Software Engineer,328963.66 - 335501.29
Applied Scientist,257049.63 - 263587.27
Applied Scientist,145909.77 - 152447.41
Applied Scientist,211286.16 - 217823.8
Applied Scientist,126296.86 - 132834.5
Machine Learning Engineer,289737.82 - 296275.46
Machine Learning Engineer,178597.97 - 185135.61
AI Architect,283200.18 - 289737.82
AI Architect,158985.05 - 165522.69
AI Architect,237436.71 - 243974.35
AI Architect,132834.5 - 139372.13
Data Scientist,714684.34 - 721221.97
Data Engineer,243974.35 - 250511.99
AI Engineer,152447.41 - 158985.05
AI Engineer,132834.5 - 139372.13
Machine Learning Engineer,224361.44 - 230899.08
Machine Learning Engineer,152447.41 - 158985.05
Machine Learning Engineer,113221.58 - 119759.22
Research Engineer,243974.35 - 250511.99
Research Engineer,158985.05 - 165522.69
Software Engineer,158985.05 - 165522.69
Solutions Architect,257049.63 - 263587.27
Solutions Architect,172060.33 - 178597.97
Engineer,198210.88 - 204748.52
Engineer,113221.58 - 119759.22
Software Engineer,257049.63 - 263587.27
Machine Learning Engineer,361651.85 - 368189.49
Machine Learning Engineer,204748.52 - 211286.16
Machine Learning Engineer,250511.99 - 257049.63
Machine Learning Engineer,145909.77 - 152447.41
Machine Learning Engineer,100146.3 - 106683.94
Data Engineer,250511.99 - 257049.63
Data Engineer,152447.41 - 158985.05
Analytics Engineer,145909.77 - 152447.41
Solutions Engineer,178597.97 - 185135.61
Solutions Engineer,100146.3 - 106683.94
Data Lead,93608.66 - 100146.3
Data Lead,54382.83 - 60920.47
Data Scientist,80533.39 - 87071.03
Product Manager,368189.49 - 374727.13
Product Manager,315888.38 - 322426.02
Data Manager,145909.77 - 152447.41
Data Manager,113221.58 - 119759.22
Business Intelligence Analyst,93608.66 - 100146.3
Business Intelligence Analyst,80533.39 - 87071.03
Manager,126296.86 - 132834.5
Manager,322426.02 - 328963.66
Associate,60920.47 - 67458.11
Engineer,433565.87 - 440103.51
Manager,93608.66 - 100146.3
Manager,257049.63 - 263587.27
Engineer,224361.44 - 230899.08
Engineer,145909.77 - 152447.41
Software Engineer,400877.68 - 407415.32
Software Engineer,315888.38 - 322426.02
Research Associate,93608.66 - 100146.3
Research Associate,54382.83 - 60920.47
Engineer,54382.83 - 60920.47
Software Developer,185135.61 - 191673.24
Software Developer,139372.13 - 145909.77
AI Engineer,224361.44 - 230899.08
AI Engineer,54382.83 - 60920.47
Analytics Engineer,172060.33 - 178597.97
Data Analyst,106683.94 - 113221.58
Data Analyst,54382.83 - 60920.47
Engineer,60920.47 - 67458.11
Software Engineer,237436.71 - 243974.35
Machine Learning Engineer,296275.46 - 302813.1
Machine Learning Engineer,270124.91 - 276662.55
Data Architect,165522.69 - 172060.33
Data Architect,47845.19 - 54382.83
Associate,178597.97 - 185135.61
Data Management Specialist,178597.97 - 185135.61
Data Management Specialist,113221.58 - 119759.22
Business Intelligence Developer,106683.94 - 113221.58
Business Intelligence Developer,80533.39 - 87071.03
Research Engineer,172060.33 - 178597.97
Research Engineer,106683.94 - 113221.58
Site Reliability Engineer,204748.52 - 211286.16
Site Reliability Engineer,158985.05 - 165522.69
Consultant,165522.69 - 172060.33
Consultant,67458.11 - 73995.75
Engineer,191673.24 - 198210.88
Analyst,217823.8 - 224361.44
Solutions Engineer,93608.66 - 100146.3
Solutions Engineer,73995.75 - 80533.39
Data Integration Engineer,230899.08 - 237436.71
Data Integration Engineer,145909.77 - 152447.41
Data Scientist,67458.11 - 73995.75
Director of Machine Learning,243974.35 - 250511.99
Director of Machine Learning,217823.8 - 224361.44
Statistician,204748.52 - 211286.16
Statistician,126296.86 - 132834.5
Engineer,119759.22 - 126296.86
Analyst,47845.19 - 54382.83
Product Manager,296275.46 - 302813.1
Product Manager,139372.13 - 145909.77
Data Reporting Analyst,139372.13 - 145909.77
Data Reporting Analyst,80533.39 - 87071.03
Data Manager,158985.05 - 165522.69
Data Manager,100146.3 - 106683.94
Data Manager,126296.86 - 132834.5
Data Manager,106683.94 - 113221.58
Data Manager,93608.66 - 100146.3
Data Manager,80533.39 - 87071.03
Data Manager,132834.5 - 139372.13
Statistical Programmer,145909.77 - 152447.41
Statistical Programmer,106683.94 - 113221.58
Research Assistant,54382.83 - 60920.47
Research Assistant,28232.28 - 34769.92
Engineer,276662.55 - 283200.18
Engineer,132834.5 - 139372.13
Consultant,191673.24 - 198210.88
Consultant,106683.94 - 113221.58
Product Manager,178597.97 - 185135.61
Product Manager,73995.75 - 80533.39
Architect,257049.63 - 263587.27
Architect,152447.41 - 158985.05
Application Developer,113221.58 - 119759.22
Application Developer,60920.47 - 67458.11
Data Architect,106683.94 - 113221.58
AI Engineer,289737.82 - 296275.46
AI Engineer,191673.24 - 198210.88
BI Engineer,119759.22 - 126296.86
BI Engineer,87071.03 - 93608.66
Data Analyst,165522.69 - 172060.33
Data Analytics Lead,185135.61 - 191673.24
Data Analytics Lead,119759.22 - 126296.86
Data Scientist,283200.18 - 289737.82
Software Engineer,152447.41 - 158985.05
Software Developer,243974.35 - 250511.99
Data Governance Specialist,191673.24 - 198210.88
Data Governance Specialist,113221.58 - 119759.22
Data Governance,191673.24 - 198210.88
Data Governance,113221.58 - 119759.22
Data Specialist,198210.88 - 204748.52
Data Specialist,119759.22 - 126296.86
Engineering Manager,342038.93 - 348576.57
Engineering Manager,191673.24 - 198210.88
Manager,283200.18 - 289737.82
Analyst,67458.11 - 73995.75
Business Analyst,73995.75 - 80533.39
Data Scientist,335501.29 - 342038.93
Data Scientist,21694.64 - 28232.28
Manager,237436.71 - 243974.35
Data Scientist,237436.71 - 243974.35
Data Scientist,185135.61 - 191673.24
Developer,158985.05 - 165522.69
Developer,119759.22 - 126296.86
Insight Analyst,54382.83 - 60920.47
Insight Analyst,41307.55 - 47845.19
Machine Learning Engineer,106683.94 - 113221.58
Machine Learning Engineer,73995.75 - 80533.39
Data Reporting Analyst,100146.3 - 106683.94
Data Reporting Analyst,73995.75 - 80533.39
Developer,93608.66 - 100146.3
Developer,80533.39 - 87071.03
Platform Engineer,152447.41 - 158985.05
Platform Engineer,132834.5 - 139372.13
Software Engineer,106683.94 - 113221.58
Software Engineer,54382.83 - 60920.47
Data Engineer,283200.18 - 289737.82
Data Specialist,113221.58 - 119759.22
Data Architect,158985.05 - 165522.69
Data Architect,80533.39 - 87071.03
Data Analyst,198210.88 - 204748.52
Data Analyst,217823.8 - 224361.44
DevOps Engineer,198210.88 - 204748.52
DevOps Engineer,113221.58 - 119759.22
Machine Learning Engineer,126296.86 - 132834.5
Business Intelligence Engineer,178597.97 - 185135.61
Business Intelligence Engineer,87071.03 - 93608.66
Applied Scientist,322426.02 - 328963.66
Applied Scientist,191673.24 - 198210.88
Solutions Engineer,172060.33 - 178597.97
Solutions Engineer,145909.77 - 152447.41
Executive,126296.86 - 132834.5
Executive,93608.66 - 100146.3
AI Engineer,87071.03 - 93608.66
AI Engineer,41307.55 - 47845.19
Data Scientist,211286.16 - 217823.8
Associate,224361.44 - 230899.08
Consultant,198210.88 - 204748.52
Consultant,113221.58 - 119759.22
Data Analyst,237436.71 - 243974.35
Data Analyst,152447.41 - 158985.05
Data Analyst,132834.5 - 139372.13
Data Manager,152447.41 - 158985.05
Data Architect,178597.97 - 185135.61
Data Architect,93608.66 - 100146.3
AI Architect,172060.33 - 178597.97
AI Architect,145909.77 - 152447.41
Machine Learning Scientist,204748.52 - 211286.16
Machine Learning Scientist,126296.86 - 132834.5
Software Engineer,211286.16 - 217823.8
Product Manager,47845.19 - 54382.83
Product Manager,41307.55 - 47845.19
Head of Data,243974.35 - 250511.99
Head of Data,185135.61 - 191673.24
Head of Data,165522.69 - 172060.33
Head of Data,145909.77 - 152447.41
Data Engineer,67458.11 - 73995.75
Business Intelligence Engineer,243974.35 - 250511.99
Business Intelligence Engineer,132834.5 - 139372.13
Analytics Engineer,243974.35 - 250511.99
Analytics Engineer,198210.88 - 204748.52
Analytics Engineer,158985.05 - 165522.69
Research Scientist,296275.46 - 302813.1
Research Scientist,132834.5 - 139372.13
Computer Vision Engineer,230899.08 - 237436.71
Computer Vision Engineer,158985.05 - 165522.69
Data Scientist,257049.63 - 263587.27
Data Scientist,145909.77 - 152447.41
Engineering Manager,296275.46 - 302813.1
Product Manager,185135.61 - 191673.24
Product Manager,158985.05 - 165522.69
Machine Learning Engineer,342038.93 - 348576.57
Machine Learning Engineer,191673.24 - 198210.88
Machine Learning Engineer,257049.63 - 263587.27
Engineer,158985.05 - 165522.69
Machine Learning Engineer,276662.55 - 283200.18
Machine Learning Engineer,335501.29 - 342038.93
BI Analyst,132834.5 - 139372.13
BI Analyst,119759.22 - 126296.86
Software Engineer,276662.55 - 283200.18
Solutions Engineer,204748.52 - 211286.16
Solutions Engineer,132834.5 - 139372.13
Postdoctoral Fellow,132834.5 - 139372.13
Postdoctoral Fellow,113221.58 - 119759.22
Research Scientist,263587.27 - 270124.91
Software Engineer,119759.22 - 126296.86
Python Developer,178597.97 - 185135.61
Python Developer,139372.13 - 145909.77
Software Developer,106683.94 - 113221.58
Software Developer,80533.39 - 87071.03
Software Developer,87071.03 - 93608.66
Software Developer,54382.83 - 60920.47
Product Manager,198210.88 - 204748.52
Product Manager,172060.33 - 178597.97
Engineer,283200.18 - 289737.82
Business Intelligence Analyst,198210.88 - 204748.52
Engineer,139372.13 - 145909.77
Engineer,165522.69 - 172060.33
Engineer,67458.11 - 73995.75
Engineer,459716.43 - 466254.07
Engineer,342038.93 - 348576.57
Engineer,87071.03 - 93608.66
Site Reliability Engineer,714684.34 - 721221.97
Site Reliability Engineer,93608.66 - 100146.3
Engineer,250511.99 - 257049.63
Associate,243974.35 - 250511.99
Backend Engineer,204748.52 - 211286.16
Backend Engineer,165522.69 - 172060.33
Full Stack Engineer,217823.8 - 224361.44
Full Stack Engineer,178597.97 - 185135.61
Full Stack Engineer,204748.52 - 211286.16
Full Stack Engineer,165522.69 - 172060.33
Backend Engineer,217823.8 - 224361.44
Backend Engineer,178597.97 - 185135.61
Executive,315888.38 - 322426.02
Executive,296275.46 - 302813.1
Data Architect,198210.88 - 204748.52
Data Architect,113221.58 - 119759.22
Research Engineer,263587.27 - 270124.91
Machine Learning Engineer,302813.1 - 309350.74
Machine Learning Engineer,185135.61 - 191673.24
Engineering Manager,283200.18 - 289737.82
Engineering Manager,211286.16 - 217823.8
Data Engineer,276662.55 - 283200.18
Data Engineer,60920.47 - 67458.11
Data Engineer,41307.55 - 47845.19
Data Governance,145909.77 - 152447.41
Data Governance,126296.86 - 132834.5
Research Scientist,289737.82 - 296275.46
Research Scientist,211286.16 - 217823.8
Analyst,243974.35 - 250511.99
Product Manager,119759.22 - 126296.86
Software Engineer,296275.46 - 302813.1
Product Manager,309350.74 - 315888.38
Data Engineer,224361.44 - 230899.08
Data Manager,54382.83 - 60920.47
Data Management Analyst,67458.11 - 73995.75
Data Management Analyst,54382.83 - 60920.47
Data Scientist,54382.83 - 60920.47
Engineer,230899.08 - 237436.71
Developer,106683.94 - 113221.58
Developer,47845.19 - 54382.83
AI Developer,211286.16 - 217823.8
AI Developer,100146.3 - 106683.94
Data Analyst,34769.92 - 41307.55
Business Intelligence Engineer,191673.24 - 198210.88
Business Intelligence Engineer,106683.94 - 113221.58
Data Developer,132834.5 - 139372.13
Data Developer,80533.39 - 87071.03
Platform Engineer,106683.94 - 113221.58
Platform Engineer,73995.75 - 80533.39
Data Manager,198210.88 - 204748.52
Quantitative Analyst,139372.13 - 145909.77
Quantitative Analyst,87071.03 - 93608.66
Manager,381264.76 - 387802.4
Research Associate,152447.41 - 158985.05
Solutions Architect,322426.02 - 328963.66
Solutions Architect,185135.61 - 191673.24
Data Integrity Analyst,139372.13 - 145909.77
Data Integrity Analyst,113221.58 - 119759.22
Executive,355114.21 - 361651.85
Executive,250511.99 - 257049.63
Business Intelligence Developer,126296.86 - 132834.5
Data Analyst,172060.33 - 178597.97
Data Engineer,185135.61 - 191673.24
Product Owner,113221.58 - 119759.22
Product Owner,80533.39 - 87071.03
Product Analyst,119759.22 - 126296.86
Product Analyst,87071.03 - 93608.66
Consultant,139372.13 - 145909.77
Consultant,54382.83 - 60920.47
Quantitative Analyst,178597.97 - 185135.61
Full Stack Engineer,126296.86 - 132834.5
Full Stack Engineer,80533.39 - 87071.03
Developer,145909.77 - 152447.41
Software Developer,158985.05 - 165522.69
Associate,289737.82 - 296275.46
Data Engineer,230899.08 - 237436.71
Associate,87071.03 - 93608.66
Engineer,80533.39 - 87071.03
Data Integrator,165522.69 - 172060.33
Data Integrator,73995.75 - 80533.39
Business Intelligence Analyst,126296.86 - 132834.5
Executive,198210.88 - 204748.52
Executive,139372.13 - 145909.77
Engineer,47845.19 - 54382.83
Data Analyst,368189.49 - 374727.13
Data Scientist,342038.93 - 348576.57
Data Scientist,302813.1 - 309350.74
Analyst,60920.47 - 67458.11
Software Developer,178597.97 - 185135.61
Software Developer,126296.86 - 132834.5
Data Engineer,100146.3 - 106683.94
Data Architect,126296.86 - 132834.5
AI Engineer,328963.66 - 335501.29
Data Governance Manager,204748.52 - 211286.16
Data Governance Manager,93608.66 - 100146.3
Data Scientist,250511.99 - 257049.63
Software Development Engineer,198210.88 - 204748.52
Software Development Engineer,93608.66 - 100146.3
Quantitative Researcher,198210.88 - 204748.52
Quantitative Researcher,119759.22 - 126296.86
AI Developer,87071.03 - 93608.66
Business Intelligence Developer,87071.03 - 93608.66
Engineer,479329.34 - 485866.98
Engineer,270124.91 - 276662.55
Analytics Engineer,204748.52 - 211286.16
Analytics Engineer,152447.41 - 158985.05
Software Engineer,289737.82 - 296275.46
Machine Learning Engineer,263587.27 - 270124.91
Software Development Engineer,145909.77 - 152447.41
Software Development Engineer,100146.3 - 106683.94
Machine Learning Engineer,132834.5 - 139372.13
Machine Learning Researcher,374727.13 - 381264.76
Machine Learning Researcher,224361.44 - 230899.08
Machine Learning Scientist,198210.88 - 204748.52
Machine Learning Scientist,145909.77 - 152447.41
Research Engineer,80533.39 - 87071.03
Analytics Lead,198210.88 - 204748.52
Analytics Lead,139372.13 - 145909.77
Data Scientist,315888.38 - 322426.02
Data Scientist,178597.97 - 185135.61
Data Analyst,185135.61 - 191673.24
Data Architect,73995.75 - 80533.39
Architect,198210.88 - 204748.52
Architect,106683.94 - 113221.58
Research Scientist,270124.91 - 276662.55
Engineer,322426.02 - 328963.66
Associate,73995.75 - 80533.39
Analyst,185135.61 - 191673.24
Developer,87071.03 - 93608.66
Developer,73995.75 - 80533.39
Solutions Architect,211286.16 - 217823.8
Solutions Architect,158985.05 - 165522.69
Solutions Architect,243974.35 - 250511.99
Member of Technical Staff,250511.99 - 257049.63
Member of Technical Staff,93608.66 - 100146.3
Engineering Manager,289737.82 - 296275.46
Engineering Manager,198210.88 - 204748.52
Software Engineer,309350.74 - 315888.38
Executive,113221.58 - 119759.22
Data Engineer,289737.82 - 296275.46
Data Engineer,368189.49 - 374727.13
Data Engineer,257049.63 - 263587.27
Data Engineer,47845.19 - 54382.83
Data Engineer,28232.28 - 34769.92
Data Developer,41307.55 - 47845.19
AI Engineer,276662.55 - 283200.18
Machine Learning Engineer,217823.8 - 224361.44
Machine Learning Engineer,93608.66 - 100146.3
Machine Learning Engineer,80533.39 - 87071.03
Data Analyst,60920.47 - 67458.11
Data Analyst,250511.99 - 257049.63
Insight Analyst,60920.47 - 67458.11
Insight Analyst,47845.19 - 54382.83
Data Scientist,28232.28 - 34769.92
Systems Engineer,172060.33 - 178597.97
Systems Engineer,132834.5 - 139372.13
Research Engineer,289737.82 - 296275.46
Research Scientist,139372.13 - 145909.77
Research Scientist,309350.74 - 315888.38
Site Reliability Engineer,132834.5 - 139372.13
System Engineer,270124.91 - 276662.55
System Engineer,178597.97 - 185135.61
Backend Engineer,191673.24 - 198210.88
Backend Engineer,172060.33 - 178597.97
Software Engineer,34769.92 - 41307.55
Platform Engineer,217823.8 - 224361.44
Platform Engineer,158985.05 - 165522.69
Business Analyst,152447.41 - 158985.05
Business Analyst,119759.22 - 126296.86
Engineering Manager,400877.68 - 407415.32
Engineering Manager,315888.38 - 322426.02
Research Scientist,407415.32 - 413952.96
Research Scientist,217823.8 - 224361.44
Research Scientist,557781.01 - 564318.65
Research Scientist,283200.18 - 289737.82
Enterprise Account Executive,498942.26 - 505479.9
Enterprise Account Executive,158985.05 - 165522.69
Engineer,498942.26 - 505479.9
Engineering Manager,250511.99 - 257049.63
Business Intelligence Engineer,257049.63 - 263587.27
Business Intelligence Engineer,152447.41 - 158985.05
