job_title,salary
Data Engineer,242066.12 to 248553.72
Data Engineer,125289.26 to 131776.86
Data Engineer,86363.64 to 92851.24
Data Engineer,53925.62 to 60413.22
Software Engineer,170702.48 to 177190.08
Data Analyst,47438.02 to 53925.62
Data Analyst,40950.41 to 47438.02
Data Analyst,229090.91 to 235578.51
Data Analyst,144752.07 to 151239.67
Data Analyst,99338.84 to 105826.45
Data Analyst,190165.29 to 196652.89
Data Analyst,112314.05 to 118801.65
Data Analytics Manager,183677.69 to 190165.29
Data Analytics Manager,157727.27 to 164214.88
Software Engineer,268016.53 to 274504.13
Software Engineer,125289.26 to 131776.86
Manager,151239.67 to 157727.27
Manager,79876.03 to 86363.64
Business Development Representative,66900.83 to 73388.43
Business Development Representative,53925.62 to 60413.22
Analytics Engineer,138264.46 to 144752.07
Analytics Engineer,118801.65 to 125289.26
Data Engineer,222603.31 to 229090.91
Data Engineer,151239.67 to 157727.27
Data Engineer,118801.65 to 125289.26
Data Engineer,60413.22 to 66900.83
Data Specialist,66900.83 to 73388.43
Data Specialist,60413.22 to 66900.83
Business Intelligence Developer,105826.45 to 112314.05
Business Intelligence Developer,66900.83 to 73388.43
Business Intelligence Developer,151239.67 to 157727.27
Business Intelligence Developer,112314.05 to 118801.65
Analyst,229090.91 to 235578.51
Analyst,73388.43 to 79876.03
Research Associate,73388.43 to 79876.03
Research Associate,53925.62 to 60413.22
Analyst,209628.1 to 216115.7
Product Specialist,203140.5 to 209628.1
Product Specialist,112314.05 to 118801.65
Analytics Engineer,190165.29 to 196652.89
Analytics Engineer,125289.26 to 131776.86
Systems Engineer,229090.91 to 235578.51
Systems Engineer,151239.67 to 157727.27
Manager,248553.72 to 255041.32
Manager,183677.69 to 190165.29
Manager,196652.89 to 203140.5
Manager,118801.65 to 125289.26
Machine Learning Engineer,410743.8 to 417231.4
Machine Learning Engineer,229090.91 to 235578.51
Data Analyst,15000.0 to 21487.6
Associate,144752.07 to 151239.67
Associate,112314.05 to 118801.65
Data Scientist,248553.72 to 255041.32
Data Scientist,164214.88 to 170702.48
Data Scientist,229090.91 to 235578.51
Data Scientist,105826.45 to 112314.05
Data Scientist,268016.53 to 274504.13
Data Scientist,196652.89 to 203140.5
Software Engineer,229090.91 to 235578.51
Software Engineer,79876.03 to 86363.64
Data Governance,183677.69 to 190165.29
Data Governance,105826.45 to 112314.05
Data Scientist,138264.46 to 144752.07
Engineer,125289.26 to 131776.86
Engineer,255041.32 to 261528.93
Software Development Engineer,196652.89 to 203140.5
Software Development Engineer,131776.86 to 138264.46
Data Scientist,112314.05 to 118801.65
Data Governance Lead,229090.91 to 235578.51
Data Governance Lead,118801.65 to 125289.26
Manager,216115.7 to 222603.31
Manager,170702.48 to 177190.08
Data Analyst,131776.86 to 138264.46
Data Engineer,203140.5 to 209628.1
Data Engineer,177190.08 to 183677.69
Software Developer,79876.03 to 86363.64
Software Developer,47438.02 to 53925.62
Analyst,157727.27 to 164214.88
Analyst,112314.05 to 118801.65
Systems Engineer,138264.46 to 144752.07
Systems Engineer,99338.84 to 105826.45
Systems Engineer,112314.05 to 118801.65
Systems Engineer,66900.83 to 73388.43
Data Scientist,157727.27 to 164214.88
Statistician,99338.84 to 105826.45
Statistician,53925.62 to 60413.22
Analyst,144752.07 to 151239.67
Architect,378305.79 to 384793.39
Architect,248553.72 to 255041.32
Software Engineer,190165.29 to 196652.89
Data Product Manager,144752.07 to 151239.67
Data Product Manager,118801.65 to 125289.26
Data Scientist,216115.7 to 222603.31
Data Scientist,92851.24 to 99338.84
Data Scientist,170702.48 to 177190.08
Data Scientist,73388.43 to 79876.03
Manager,112314.05 to 118801.65
Manager,86363.64 to 92851.24
Quantitative Researcher,177190.08 to 183677.69
Quantitative Researcher,164214.88 to 170702.48
Software Engineer,365330.58 to 371818.18
Software Engineer,196652.89 to 203140.5
Manager,164214.88 to 170702.48
Research Engineer,203140.5 to 209628.1
Research Engineer,138264.46 to 144752.07
Product Manager,196652.89 to 203140.5
Product Manager,112314.05 to 118801.65
Data Scientist,151239.67 to 157727.27
Data Scientist,86363.64 to 92851.24
Data Scientist,47438.02 to 53925.62
Associate,216115.7 to 222603.31
Associate,196652.89 to 203140.5
Software Engineer,164214.88 to 170702.48
Data Specialist,53925.62 to 60413.22
Data Specialist,47438.02 to 53925.62
Associate,248553.72 to 255041.32
Associate,183677.69 to 190165.29
Research Engineer,248553.72 to 255041.32
Research Engineer,131776.86 to 138264.46
Data Engineer,79876.03 to 86363.64
Software Engineer,138264.46 to 144752.07
Data Architect,34462.81 to 40950.41
Applied Scientist,157727.27 to 164214.88
Applied Scientist,73388.43 to 79876.03
Applied Scientist,203140.5 to 209628.1
Applied Scientist,92851.24 to 99338.84
AI Engineer,248553.72 to 255041.32
AI Engineer,177190.08 to 183677.69
Software Engineer,280991.74 to 287479.34
Software Engineer,183677.69 to 190165.29
Cloud Developer,255041.32 to 261528.93
Cloud Developer,125289.26 to 131776.86
Engineering Manager,378305.79 to 384793.39
Engineering Manager,216115.7 to 222603.31
Software Engineer,222603.31 to 229090.91
Consultant,203140.5 to 209628.1
Consultant,144752.07 to 151239.67
Systems Engineer,222603.31 to 229090.91
Systems Engineer,157727.27 to 164214.88
Research Scientist,118801.65 to 125289.26
Research Scientist,86363.64 to 92851.24
Analyst,105826.45 to 112314.05
Analyst,79876.03 to 86363.64
Software Developer,177190.08 to 183677.69
Software Developer,73388.43 to 79876.03
Engineer,92851.24 to 99338.84
Engineer,73388.43 to 79876.03
Software Engineer,40950.41 to 47438.02
Product Manager,293966.94 to 300454.55
Product Manager,131776.86 to 138264.46
Product Designer,293966.94 to 300454.55
Product Designer,131776.86 to 138264.46
Research Scientist,352355.37 to 358842.98
Research Scientist,190165.29 to 196652.89
Machine Learning Engineer,164214.88 to 170702.48
Machine Learning Engineer,118801.65 to 125289.26
Data Scientist,125289.26 to 131776.86
Data Engineer,138264.46 to 144752.07
Data Engineer,196652.89 to 203140.5
Data Engineer,235578.51 to 242066.12
Data Engineer,170702.48 to 177190.08
Data Operations,274504.13 to 280991.74
Data Operations,164214.88 to 170702.48
Data Operations,118801.65 to 125289.26
Product Specialist,242066.12 to 248553.72
Product Specialist,138264.46 to 144752.07
Statistical Programmer,40950.41 to 47438.02
Statistical Programmer,27975.21 to 34462.81
Data Governance Analyst,92851.24 to 99338.84
Data Governance Analyst,66900.83 to 73388.43
Business Analyst,79876.03 to 86363.64
Data Analyst,118801.65 to 125289.26
Data Analyst,92851.24 to 99338.84
Solution Architect,268016.53 to 274504.13
Solution Architect,144752.07 to 151239.67
Data Modeler,151239.67 to 157727.27
Data Modeler,144752.07 to 151239.67
Analyst,92851.24 to 99338.84
Research Scientist,196652.89 to 203140.5
Research Scientist,99338.84 to 105826.45
Engineer,183677.69 to 190165.29
Engineer,99338.84 to 105826.45
Manager,222603.31 to 229090.91
Analyst,86363.64 to 92851.24
Manager,99338.84 to 105826.45
Associate,157727.27 to 164214.88
Associate,99338.84 to 105826.45
Data Engineer,131776.86 to 138264.46
Engineer,203140.5 to 209628.1
Manager,157727.27 to 164214.88
Data Analyst,125289.26 to 131776.86
Data Analyst,177190.08 to 183677.69
Data Analyst,138264.46 to 144752.07
Data Analyst,157727.27 to 164214.88
Data Architect,138264.46 to 144752.07
Data Architect,118801.65 to 125289.26
Full Stack Developer,105826.45 to 112314.05
Full Stack Developer,79876.03 to 86363.64
Manager,144752.07 to 151239.67
Statistician,86363.64 to 92851.24
Statistician,79876.03 to 86363.64
Machine Learning Engineer,196652.89 to 203140.5
Machine Learning Engineer,170702.48 to 177190.08
Data Management Lead,144752.07 to 151239.67
Data Management Lead,105826.45 to 112314.05
Data Specialist,15000.0 to 21487.6
Business Intelligence Analyst,183677.69 to 190165.29
Business Intelligence Analyst,105826.45 to 112314.05
Engineer,261528.93 to 268016.53
Research Scientist,125289.26 to 131776.86
Postdoctoral Researcher,60413.22 to 66900.83
Associate,170702.48 to 177190.08
Analyst,170702.48 to 177190.08
Manager,229090.91 to 235578.51
Engineer,151239.67 to 157727.27
Engineer,105826.45 to 112314.05
DevOps Engineer,118801.65 to 125289.26
DevOps Engineer,73388.43 to 79876.03
Associate,105826.45 to 112314.05
Associate,79876.03 to 86363.64
Analyst,125289.26 to 131776.86
Business Intelligence Analyst,118801.65 to 125289.26
Business Intelligence Analyst,86363.64 to 92851.24
Solutions Architect,229090.91 to 235578.51
Solutions Architect,151239.67 to 157727.27
Manager,177190.08 to 183677.69
Manager,131776.86 to 138264.46
Engineer,268016.53 to 274504.13
Engineer,177190.08 to 183677.69
Developer,177190.08 to 183677.69
Developer,125289.26 to 131776.86
Architect,170702.48 to 177190.08
Architect,138264.46 to 144752.07
Engineer,131776.86 to 138264.46
Analyst,203140.5 to 209628.1
Analyst,131776.86 to 138264.46
Cloud Engineer,151239.67 to 157727.27
Cloud Engineer,73388.43 to 79876.03
Software Engineer,86363.64 to 92851.24
MLOps Engineer,209628.1 to 216115.7
MLOps Engineer,131776.86 to 138264.46
Data Engineer,112314.05 to 118801.65
Data Scientist,131776.86 to 138264.46
Analyst,53925.62 to 60413.22
Business Analyst,229090.91 to 235578.51
Business Analyst,144752.07 to 151239.67
Software Engineer,332892.56 to 339380.17
Applied Scientist,255041.32 to 261528.93
Applied Scientist,144752.07 to 151239.67
Applied Scientist,209628.1 to 216115.7
Applied Scientist,125289.26 to 131776.86
Machine Learning Engineer,287479.34 to 293966.94
Machine Learning Engineer,177190.08 to 183677.69
AI Architect,280991.74 to 287479.34
AI Architect,235578.51 to 242066.12
AI Architect,131776.86 to 138264.46
Data Scientist,715661.16 to 722148.76
Data Engineer,248553.72 to 255041.32
AI Engineer,151239.67 to 157727.27
AI Engineer,131776.86 to 138264.46
Machine Learning Engineer,222603.31 to 229090.91
Machine Learning Engineer,151239.67 to 157727.27
Machine Learning Engineer,112314.05 to 118801.65
Research Engineer,242066.12 to 248553.72
Research Engineer,157727.27 to 164214.88
Software Engineer,242066.12 to 248553.72
Software Engineer,157727.27 to 164214.88
Solutions Architect,255041.32 to 261528.93
Solutions Architect,177190.08 to 183677.69
Engineer,196652.89 to 203140.5
Engineer,112314.05 to 118801.65
Software Engineer,255041.32 to 261528.93
Machine Learning Engineer,358842.98 to 365330.58
Machine Learning Engineer,203140.5 to 209628.1
Machine Learning Engineer,248553.72 to 255041.32
Machine Learning Engineer,144752.07 to 151239.67
Machine Learning Engineer,99338.84 to 105826.45
Data Analyst,66900.83 to 73388.43
Analytics Engineer,144752.07 to 151239.67
Solutions Engineer,177190.08 to 183677.69
Solutions Engineer,99338.84 to 105826.45
Data Lead,99338.84 to 105826.45
Data Lead,53925.62 to 60413.22
Data Scientist,79876.03 to 86363.64
Product Manager,365330.58 to 371818.18
Product Manager,313429.75 to 319917.36
Data Manager,144752.07 to 151239.67
Data Manager,112314.05 to 118801.65
Business Intelligence Analyst,99338.84 to 105826.45
Business Intelligence Analyst,79876.03 to 86363.64
Manager,125289.26 to 131776.86
Manager,319917.36 to 326404.96
Associate,60413.22 to 66900.83
Engineer,436694.21 to 443181.82
Manager,92851.24 to 99338.84
Manager,255041.32 to 261528.93
Engineer,222603.31 to 229090.91
Engineer,144752.07 to 151239.67
Software Engineer,404256.2 to 410743.8
Software Engineer,319917.36 to 326404.96
Research Associate,92851.24 to 99338.84
Software Engineer,118801.65 to 125289.26
Engineer,53925.62 to 60413.22
Software Developer,183677.69 to 190165.29
Software Developer,138264.46 to 144752.07
Manager,203140.5 to 209628.1
AI Engineer,229090.91 to 235578.51
AI Engineer,53925.62 to 60413.22
Software Engineer,261528.93 to 268016.53
Analytics Engineer,170702.48 to 177190.08
Data Analyst,105826.45 to 112314.05
Data Analyst,53925.62 to 60413.22
Engineer,60413.22 to 66900.83
Software Engineer,235578.51 to 242066.12
Machine Learning Engineer,293966.94 to 300454.55
Machine Learning Engineer,268016.53 to 274504.13
Data Architect,164214.88 to 170702.48
Data Architect,47438.02 to 53925.62
Associate,177190.08 to 183677.69
Data Management Specialist,183677.69 to 190165.29
Data Management Specialist,112314.05 to 118801.65
Business Intelligence Developer,79876.03 to 86363.64
Research Engineer,170702.48 to 177190.08
Research Engineer,112314.05 to 118801.65
Site Reliability Engineer,209628.1 to 216115.7
Site Reliability Engineer,157727.27 to 164214.88
Consultant,164214.88 to 170702.48
Consultant,66900.83 to 73388.43
Engineer,190165.29 to 196652.89
Analyst,216115.7 to 222603.31
Analyst,138264.46 to 144752.07
Solutions Engineer,79876.03 to 86363.64
Data Integration Engineer,229090.91 to 235578.51
Data Integration Engineer,144752.07 to 151239.67
Data Scientist,66900.83 to 73388.43
Data Scientist,190165.29 to 196652.89
Director of Machine Learning,248553.72 to 255041.32
Director of Machine Learning,216115.7 to 222603.31
Statistician,203140.5 to 209628.1
Statistician,125289.26 to 131776.86
Engineer,118801.65 to 125289.26
Engineer,79876.03 to 86363.64
Analyst,47438.02 to 53925.62
Product Manager,138264.46 to 144752.07
Data Reporting Analyst,138264.46 to 144752.07
Data Reporting Analyst,79876.03 to 86363.64
Data Manager,157727.27 to 164214.88
Data Manager,99338.84 to 105826.45
Data Manager,125289.26 to 131776.86
Data Manager,105826.45 to 112314.05
Data Manager,92851.24 to 99338.84
Data Manager,79876.03 to 86363.64
Data Manager,131776.86 to 138264.46
Statistical Programmer,144752.07 to 151239.67
Statistical Programmer,105826.45 to 112314.05
Research Assistant,53925.62 to 60413.22
Research Assistant,27975.21 to 34462.81
Engineer,274504.13 to 280991.74
Engineer,138264.46 to 144752.07
Consultant,196652.89 to 203140.5
Consultant,105826.45 to 112314.05
Product Manager,177190.08 to 183677.69
Product Manager,79876.03 to 86363.64
Architect,255041.32 to 261528.93
Architect,151239.67 to 157727.27
Application Developer,112314.05 to 118801.65
Application Developer,60413.22 to 66900.83
Data Architect,105826.45 to 112314.05
AI Engineer,287479.34 to 293966.94
AI Engineer,190165.29 to 196652.89
BI Engineer,118801.65 to 125289.26
BI Engineer,86363.64 to 92851.24
Data Analyst,164214.88 to 170702.48
Data Analytics Lead,183677.69 to 190165.29
Data Analytics Lead,125289.26 to 131776.86
Software Engineer,151239.67 to 157727.27
Software Developer,248553.72 to 255041.32
Data Governance Specialist,190165.29 to 196652.89
Data Governance Specialist,112314.05 to 118801.65
Data Governance,190165.29 to 196652.89
Data Governance,112314.05 to 118801.65
Analyst,99338.84 to 105826.45
Data Specialist,196652.89 to 203140.5
Data Specialist,118801.65 to 125289.26
Engineering Manager,339380.17 to 345867.77
Engineering Manager,190165.29 to 196652.89
Manager,280991.74 to 287479.34
Analyst,66900.83 to 73388.43
Business Analyst,86363.64 to 92851.24
Business Analyst,73388.43 to 79876.03
Data Scientist,332892.56 to 339380.17
Data Scientist,27975.21 to 34462.81
Manager,235578.51 to 242066.12
Data Scientist,235578.51 to 242066.12
Data Scientist,209628.1 to 216115.7
Data Scientist,183677.69 to 190165.29
Developer,164214.88 to 170702.48
Developer,118801.65 to 125289.26
Insight Analyst,53925.62 to 60413.22
Insight Analyst,40950.41 to 47438.02
Machine Learning Engineer,105826.45 to 112314.05
Machine Learning Engineer,73388.43 to 79876.03
Data Reporting Analyst,99338.84 to 105826.45
Data Reporting Analyst,73388.43 to 79876.03
Developer,99338.84 to 105826.45
Developer,79876.03 to 86363.64
Platform Engineer,151239.67 to 157727.27
Platform Engineer,131776.86 to 138264.46
Software Engineer,60413.22 to 66900.83
Data Engineer,280991.74 to 287479.34
Data Architect,157727.27 to 164214.88
Data Architect,86363.64 to 92851.24
Data Analyst,196652.89 to 203140.5
Data Analyst,216115.7 to 222603.31
Data Engineer,73388.43 to 79876.03
DevOps Engineer,196652.89 to 203140.5
Machine Learning Engineer,125289.26 to 131776.86
Business Intelligence Engineer,183677.69 to 190165.29
Business Intelligence Engineer,86363.64 to 92851.24
Applied Scientist,326404.96 to 332892.56
Applied Scientist,190165.29 to 196652.89
Solutions Engineer,170702.48 to 177190.08
Solutions Engineer,144752.07 to 151239.67
Data Engineer,183677.69 to 190165.29
Executive,125289.26 to 131776.86
Executive,92851.24 to 99338.84
AI Engineer,86363.64 to 92851.24
AI Engineer,40950.41 to 47438.02
Associate,229090.91 to 235578.51
Consultant,112314.05 to 118801.65
Data Analyst,235578.51 to 242066.12
Data Manager,151239.67 to 157727.27
Data Architect,183677.69 to 190165.29
Data Architect,99338.84 to 105826.45
AI Architect,170702.48 to 177190.08
AI Architect,144752.07 to 151239.67
Machine Learning Scientist,203140.5 to 209628.1
Machine Learning Scientist,125289.26 to 131776.86
Software Engineer,209628.1 to 216115.7
Product Manager,47438.02 to 53925.62
Product Manager,40950.41 to 47438.02
Head of Data,248553.72 to 255041.32
Head of Data,190165.29 to 196652.89
Head of Data,164214.88 to 170702.48
Head of Data,144752.07 to 151239.67
Business Intelligence Engineer,242066.12 to 248553.72
Business Intelligence Engineer,138264.46 to 144752.07
Analytics Engineer,248553.72 to 255041.32
Analytics Engineer,196652.89 to 203140.5
Analytics Engineer,157727.27 to 164214.88
Research Scientist,293966.94 to 300454.55
Research Scientist,131776.86 to 138264.46
Computer Vision Engineer,235578.51 to 242066.12
Computer Vision Engineer,164214.88 to 170702.48
Data Scientist,255041.32 to 261528.93
Data Scientist,144752.07 to 151239.67
Engineering Manager,293966.94 to 300454.55
Product Manager,183677.69 to 190165.29
Product Manager,157727.27 to 164214.88
Machine Learning Engineer,339380.17 to 345867.77
Machine Learning Engineer,190165.29 to 196652.89
Machine Learning Engineer,255041.32 to 261528.93
Machine Learning Engineer,183677.69 to 190165.29
Engineer,157727.27 to 164214.88
Machine Learning Engineer,274504.13 to 280991.74
Machine Learning Engineer,332892.56 to 339380.17
BI Analyst,131776.86 to 138264.46
BI Analyst,118801.65 to 125289.26
Software Engineer,274504.13 to 280991.74
Solutions Engineer,203140.5 to 209628.1
Solutions Engineer,131776.86 to 138264.46
Postdoctoral Fellow,131776.86 to 138264.46
Postdoctoral Fellow,112314.05 to 118801.65
Research Scientist,268016.53 to 274504.13
Python Developer,177190.08 to 183677.69
Python Developer,138264.46 to 144752.07
Software Developer,105826.45 to 112314.05
Software Developer,86363.64 to 92851.24
Software Developer,53925.62 to 60413.22
Product Manager,203140.5 to 209628.1
Product Manager,170702.48 to 177190.08
Engineer,280991.74 to 287479.34
Business Intelligence Analyst,196652.89 to 203140.5
Business Intelligence Analyst,92851.24 to 99338.84
Engineer,164214.88 to 170702.48
Engineer,66900.83 to 73388.43
Engineer,462644.63 to 469132.23
Engineer,345867.77 to 352355.37
Engineer,86363.64 to 92851.24
Site Reliability Engineer,715661.16 to 722148.76
Site Reliability Engineer,99338.84 to 105826.45
Backend Engineer,203140.5 to 209628.1
Backend Engineer,164214.88 to 170702.48
Full Stack Engineer,216115.7 to 222603.31
Full Stack Engineer,183677.69 to 190165.29
Full Stack Engineer,203140.5 to 209628.1
Full Stack Engineer,164214.88 to 170702.48
Backend Engineer,216115.7 to 222603.31
Backend Engineer,183677.69 to 190165.29
Executive,319917.36 to 326404.96
Executive,293966.94 to 300454.55
Data Architect,196652.89 to 203140.5
Data Architect,112314.05 to 118801.65
Research Engineer,261528.93 to 268016.53
Machine Learning Engineer,300454.55 to 306942.15
Engineering Manager,280991.74 to 287479.34
Engineering Manager,209628.1 to 216115.7
Data Engineer,66900.83 to 73388.43
Data Engineer,40950.41 to 47438.02
Data Governance,144752.07 to 151239.67
Data Governance,125289.26 to 131776.86
Research Scientist,287479.34 to 293966.94
Research Scientist,209628.1 to 216115.7
Analyst,242066.12 to 248553.72
Product Manager,164214.88 to 170702.48
Product Manager,118801.65 to 125289.26
Software Engineer,293966.94 to 300454.55
Engineer,209628.1 to 216115.7
Data Engineer,164214.88 to 170702.48
Data Manager,60413.22 to 66900.83
Data Management Analyst,66900.83 to 73388.43
Data Management Analyst,53925.62 to 60413.22
Data Scientist,53925.62 to 60413.22
Engineer,229090.91 to 235578.51
Developer,105826.45 to 112314.05
Developer,47438.02 to 53925.62
AI Developer,209628.1 to 216115.7
AI Developer,99338.84 to 105826.45
Data Analyst,34462.81 to 40950.41
Business Intelligence Engineer,190165.29 to 196652.89
Business Intelligence Engineer,105826.45 to 112314.05
Data Developer,131776.86 to 138264.46
Data Developer,79876.03 to 86363.64
Platform Engineer,105826.45 to 112314.05
Platform Engineer,73388.43 to 79876.03
Data Manager,203140.5 to 209628.1
Quantitative Analyst,138264.46 to 144752.07
Quantitative Analyst,86363.64 to 92851.24
Manager,384793.39 to 391280.99
Research Associate,151239.67 to 157727.27
Solutions Architect,319917.36 to 326404.96
Solutions Architect,190165.29 to 196652.89
Data Integrity Analyst,144752.07 to 151239.67
Data Integrity Analyst,118801.65 to 125289.26
Executive,358842.98 to 365330.58
Executive,248553.72 to 255041.32
Business Intelligence Developer,125289.26 to 131776.86
Data Analyst,170702.48 to 177190.08
Data Engineer,274504.13 to 280991.74
Data Engineer,190165.29 to 196652.89
Product Owner,112314.05 to 118801.65
Product Owner,79876.03 to 86363.64
Product Analyst,118801.65 to 125289.26
Product Analyst,86363.64 to 92851.24
Consultant,138264.46 to 144752.07
Consultant,60413.22 to 66900.83
Quantitative Analyst,177190.08 to 183677.69
Full Stack Engineer,125289.26 to 131776.86
Full Stack Engineer,86363.64 to 92851.24
Developer,144752.07 to 151239.67
Developer,86363.64 to 92851.24
Software Developer,164214.88 to 170702.48
Associate,293966.94 to 300454.55
Data Engineer,229090.91 to 235578.51
Associate,86363.64 to 92851.24
Data Analyst,151239.67 to 157727.27
Data Integrator,170702.48 to 177190.08
Data Integrator,73388.43 to 79876.03
Business Intelligence Analyst,125289.26 to 131776.86
Executive,196652.89 to 203140.5
Executive,138264.46 to 144752.07
Data Analyst,365330.58 to 371818.18
Data Scientist,345867.77 to 352355.37
Data Scientist,300454.55 to 306942.15
Analyst,60413.22 to 66900.83
Software Developer,125289.26 to 131776.86
Data Engineer,144752.07 to 151239.67
Data Engineer,99338.84 to 105826.45
Data Architect,125289.26 to 131776.86
Data Governance Manager,203140.5 to 209628.1
Data Governance Manager,92851.24 to 99338.84
Software Development Engineer,99338.84 to 105826.45
Quantitative Researcher,196652.89 to 203140.5
Quantitative Researcher,118801.65 to 125289.26
AI Developer,86363.64 to 92851.24
Business Intelligence Developer,86363.64 to 92851.24
Engineer,475619.83 to 482107.44
Analytics Engineer,203140.5 to 209628.1
Analytics Engineer,151239.67 to 157727.27
Machine Learning Engineer,261528.93 to 268016.53
Software Development Engineer,144752.07 to 151239.67
Machine Learning Engineer,131776.86 to 138264.46
Machine Learning Researcher,371818.18 to 378305.79
Machine Learning Researcher,222603.31 to 229090.91
Machine Learning Scientist,196652.89 to 203140.5
Machine Learning Scientist,144752.07 to 151239.67
Research Engineer,79876.03 to 86363.64
Analytics Lead,196652.89 to 203140.5
Analytics Lead,138264.46 to 144752.07
Data Scientist,313429.75 to 319917.36
Data Analyst,183677.69 to 190165.29
Data Architect,73388.43 to 79876.03
Architect,203140.5 to 209628.1
Architect,105826.45 to 112314.05
Research Scientist,274504.13 to 280991.74
Engineer,319917.36 to 326404.96
Associate,73388.43 to 79876.03
Analyst,183677.69 to 190165.29
Solutions Architect,209628.1 to 216115.7
Solutions Architect,157727.27 to 164214.88
Solutions Architect,242066.12 to 248553.72
Member of Technical Staff,248553.72 to 255041.32
Member of Technical Staff,92851.24 to 99338.84
Engineering Manager,287479.34 to 293966.94
Engineering Manager,196652.89 to 203140.5
Software Engineer,306942.15 to 313429.75
Executive,144752.07 to 151239.67
Executive,112314.05 to 118801.65
Data Engineer,293966.94 to 300454.55
Data Engineer,371818.18 to 378305.79
Data Engineer,261528.93 to 268016.53
Data Engineer,47438.02 to 53925.62
Data Engineer,27975.21 to 34462.81
Data Developer,40950.41 to 47438.02
AI Engineer,274504.13 to 280991.74
Software Engineer,287479.34 to 293966.94
Machine Learning Engineer,216115.7 to 222603.31
Machine Learning Engineer,92851.24 to 99338.84
Machine Learning Engineer,79876.03 to 86363.64
Data Analyst,60413.22 to 66900.83
Data Analyst,248553.72 to 255041.32
Insight Analyst,60413.22 to 66900.83
Insight Analyst,47438.02 to 53925.62
Systems Engineer,170702.48 to 177190.08
Systems Engineer,131776.86 to 138264.46
Research Scientist,261528.93 to 268016.53
Research Scientist,138264.46 to 144752.07
Research Scientist,306942.15 to 313429.75
Site Reliability Engineer,131776.86 to 138264.46
System Engineer,268016.53 to 274504.13
System Engineer,177190.08 to 183677.69
Backend Engineer,190165.29 to 196652.89
Backend Engineer,170702.48 to 177190.08
Software Engineer,73388.43 to 79876.03
Software Engineer,34462.81 to 40950.41
Platform Engineer,216115.7 to 222603.31
Platform Engineer,157727.27 to 164214.88
Business Analyst,151239.67 to 157727.27
Business Analyst,118801.65 to 125289.26
Engineering Manager,404256.2 to 410743.8
Engineering Manager,319917.36 to 326404.96
Research Scientist,404256.2 to 410743.8
Research Scientist,222603.31 to 229090.91
Research Scientist,559958.68 to 566446.28
Enterprise Account Executive,495082.64 to 501570.25
Enterprise Account Executive,157727.27 to 164214.88
Engineer,495082.64 to 501570.25
Engineering Manager,248553.72 to 255041.32
Software Engineer,105826.45 to 112314.05
Engineer,47438.02 to 53925.62
Business Intelligence Engineer,255041.32 to 261528.93
Business Intelligence Engineer,151239.67 to 157727.27
Data Lead,60413.22 to 66900.83
Data Lead,47438.02 to 53925.62
Research Scientist,60413.22 to 66900.83
Research Scientist,47438.02 to 53925.62
Software Engineer,216115.7 to 222603.31
Data Scientist,60413.22 to 66900.83
Data Scientist,40950.41 to 47438.02
Data Manager,47438.02 to 53925.62
Data Management Lead,79876.03 to 86363.64
Data Management Lead,60413.22 to 66900.83
Data Manager,66900.83 to 73388.43
Data Manager,53925.62 to 60413.22
Analyst,21487.6 to 27975.21
Data Engineer,255041.32 to 261528.93
